uf,cod_uf,cod_munic,nome_munic, pop_2020 
RJ,33,00100,Angra dos Reis,203.785
RJ,33,00159,Aperibé,11.759
RJ,33,00209,Araruama,132.400
RJ,33,00225,Areal,12.572
RJ,33,00233,Armação dos Búzios,33.870
RJ,33,00258,Arraial do Cabo,30.349
RJ,33,00308,Barra do Piraí,100.374
RJ,33,00407,Barra Mansa,184.412
RJ,33,00456,Belford Roxo,510.906
RJ,33,00506,Bom Jardim,27.446
RJ,33,00605,Bom Jesus do Itabapoana,37.096
RJ,33,00704,Cabo Frio,226.525
RJ,33,00803,Cachoeiras de Macacu,58.937
RJ,33,00902,Cambuci,15.505
RJ,33,00936,Carapebus,16.301
RJ,33,00951,Comendador Levy Gasparian,8.561
RJ,33,01009,Campos dos Goytacazes,507.548
RJ,33,01108,Cantagalo,20.172
RJ,33,01157,Cardoso Moreira,12.823
RJ,33,01207,Carmo,18.895
RJ,33,01306,Casimiro de Abreu,44.184
RJ,33,01405,Conceição de Macabu,23.228
RJ,33,01504,Cordeiro,21.926
RJ,33,01603,Duas Barras,11.492
RJ,33,01702,Duque de Caxias,919.596
RJ,33,01801,Engenheiro Paulo de Frontin,14.002
RJ,33,01850,Guapimirim,60.517
RJ,33,01876,Iguaba Grande,28.310
RJ,33,01900,Itaboraí,240.592
RJ,33,02007,Itaguaí,133.019
RJ,33,02056,Italva,15.207
RJ,33,02106,Itaocara,23.234
RJ,33,02205,Itaperuna,103.224
RJ,33,02254,Itatiaia,31.805
RJ,33,02270,Japeri,104.768
RJ,33,02304,Laje do Muriaé,7.355
RJ,33,02403,Macaé,256.672
RJ,33,02452,Macuco,5.599
RJ,33,02502,Magé,245.071
RJ,33,02601,Mangaratiba,44.468
RJ,33,02700,Maricá,161.207
RJ,33,02809,Mendes,18.614
RJ,33,02858,Mesquita,176.103
RJ,33,02908,Miguel Pereira,25.538
RJ,33,03005,Miracema,27.174
RJ,33,03104,Natividade,15.317
RJ,33,03203,Nilópolis,162.485
RJ,33,03302,Niterói,513.584
RJ,33,03401,Nova Friburgo,190.631
RJ,33,03500,Nova Iguaçu,821.128
RJ,33,03609,Paracambi,52.257
RJ,33,03708,Paraíba do Sul,44.285
RJ,33,03807,Paraty,43.165
RJ,33,03856,Paty do Alferes,27.769
RJ,33,03906,Petrópolis,306.191
RJ,33,03955,Pinheiral,25.156
RJ,33,04003,Piraí,29.277
RJ,33,04102,Porciúncula,18.847
RJ,33,04110,Porto Real,19.683
RJ,33,04128,Quatis,14.302
RJ,33,04144,Queimados,150.319
RJ,33,04151,Quissamã,24.700
RJ,33,04201,Resende,131.341
RJ,33,04300,Rio Bonito,60.201
RJ,33,04409,Rio Claro,18.529
RJ,33,04508,Rio das Flores,9.284
RJ,33,04524,Rio das Ostras,150.674
RJ,33,04557,Rio de Janeiro,6.718.903
RJ,33,04607,Santa Maria Madalena,10.404
RJ,33,04706,Santo Antônio de Pádua,42.479
RJ,33,04755,São Francisco de Itabapoana,42.205
RJ,33,04805,São Fidélis,38.669
RJ,33,04904,São Gonçalo,1.084.839
RJ,33,05000,São João da Barra,36.102
RJ,33,05109,São João de Meriti,472.406
RJ,33,05133,São José de Ubá,7.171
RJ,33,05158,São José do Vale do Rio Preto,21.795
RJ,33,05208,São Pedro da Aldeia,104.476
RJ,33,05307,São Sebastião do Alto,9.357
RJ,33,05406,Sapucaia,18.228
RJ,33,05505,Saquarema,89.170
RJ,33,05554,Seropédica,82.312
RJ,33,05604,Silva Jardim,21.774
RJ,33,05703,Sumidouro,15.623
RJ,33,05752,Tanguá,34.309
RJ,33,05802,Teresópolis,182.594
RJ,33,05901,Trajano de Moraes,10.626
RJ,33,06008,Três Rios,81.804
RJ,33,06107,Valença,76.523
RJ,33,06156,Varre-Sai,11.000
RJ,33,06206,Vassouras,36.896
RJ,33,06305,Volta Redonda,273.012
